epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,785.126,1.38251,2.58373,5.36381,1.75405,0,0.4427,0.55193,0.49501,0.26773,0.60783,0.32698,0.32201,0.15158,1.7606,2.63246,6.42091,1.76926,0,0.0004456,0.0004456,0.0004456
30,811.06,1.37988,2.60263,5.33828,1.75209,0,0.68851,0.4725,0.48342,0.25266,0.59828,0.34351,0.34114,0.16332,1.7928,2.55668,6.29341,1.79428,0,0.0004258,0.0004258,0.0004258
31,836.797,1.39561,2.60422,5.44214,1.74054,0,0.51773,0.53493,0.49194,0.26401,0.58991,0.33339,0.32773,0.15555,1.77734,2.5345,6.27103,1.82026,0,0.000406,0.000406,0.000406
32,862.745,1.3783,2.57841,5.3304,1.7362,0,0.58831,0.48596,0.48386,0.25677,0.50101,0.31736,0.31338,0.15262,1.77179,2.52305,6.42699,1.78874,0,0.0003862,0.0003862,0.0003862
33,888.782,1.3375,2.55028,5.159,1.71241,0,0.61794,0.47768,0.49238,0.26128,0.54114,0.34377,0.33117,0.15873,1.76288,2.57694,6.39873,1.81306,0,0.0003664,0.0003664,0.0003664
34,914.871,1.35805,2.54209,5.09774,1.70647,0,0.51948,0.58878,0.52374,0.28721,0.3866,0.38733,0.33953,0.16262,1.73984,2.50363,6.1291,1.76044,0,0.0003466,0.0003466,0.0003466
35,940.778,1.34082,2.51638,5.07822,1.70639,0,0.58737,0.49281,0.52394,0.2812,0.44659,0.35462,0.36903,0.17441,1.74161,2.43202,6.15701,1.74788,0,0.0003268,0.0003268,0.0003268
36,966.894,1.33562,2.48304,4.99096,1.69311,0,0.58787,0.50061,0.48854,0.26755,0.51408,0.36814,0.35154,0.16857,1.75024,2.50221,6.09121,1.7831,0,0.000307,0.000307,0.000307
37,992.957,1.31105,2.44995,4.91763,1.68673,0,0.49879,0.54579,0.50934,0.27885,0.5497,0.36362,0.36826,0.17683,1.7304,2.43769,6.07089,1.74765,0,0.0002872,0.0002872,0.0002872
38,1019.48,1.31452,2.45444,4.84098,1.67769,0,0.6488,0.52474,0.5523,0.29452,0.50596,0.35047,0.37363,0.17991,1.76203,2.43842,5.99094,1.7651,0,0.0002674,0.0002674,0.0002674
39,1045.99,1.31562,2.47765,4.78101,1.68821,0,0.56859,0.58535,0.54541,0.29487,0.43098,0.39455,0.37167,0.17648,1.72906,2.42351,5.99521,1.74791,0,0.0002476,0.0002476,0.0002476
40,1072.83,1.27153,2.39541,4.66319,1.66352,0,0.61437,0.53813,0.54196,0.2914,0.46486,0.37433,0.36922,0.17315,1.71497,2.41195,5.85707,1.72749,0,0.0002278,0.0002278,0.0002278
41,1106.45,1.52266,2.12239,4.65748,1.66183,0,0.59352,0.5632,0.5476,0.28837,0.4543,0.40014,0.38577,0.17664,1.73714,2.48569,6.0788,1.76115,0,0.000208,0.000208,0.000208
42,1130.74,1.48795,2.12123,4.50729,1.62736,0,0.62405,0.53873,0.54985,0.29893,0.59256,0.38219,0.40589,0.18901,1.70912,2.4521,5.85081,1.73105,0,0.0001882,0.0001882,0.0001882
43,1154.94,1.45633,2.07876,4.37345,1.60991,0,0.5714,0.55772,0.55662,0.30162,0.51382,0.39248,0.38827,0.18169,1.69602,2.46272,5.88485,1.72046,0,0.0001684,0.0001684,0.0001684
44,1178.71,1.44514,2.01645,4.19828,1.58112,0,0.61414,0.54186,0.54211,0.29625,0.41501,0.42196,0.39184,0.17975,1.7144,2.43755,5.81595,1.72818,0,0.0001486,0.0001486,0.0001486
45,1202.96,1.45761,2.01217,4.12238,1.5837,0,0.54987,0.59903,0.54708,0.29905,0.4673,0.4234,0.39505,0.18077,1.71757,2.4494,5.78798,1.73488,0,0.0001288,0.0001288,0.0001288
46,1226.6,1.40977,1.97875,3.99226,1.55731,0,0.54895,0.57076,0.5418,0.30194,0.45411,0.44183,0.39127,0.18054,1.69467,2.45208,5.83451,1.72998,0,0.000109,0.000109,0.000109
47,1250.05,1.40721,1.99429,3.98076,1.55659,0,0.67591,0.52593,0.54457,0.3041,0.57984,0.3926,0.38741,0.18178,1.6932,2.42141,5.73693,1.72724,0,8.92e-05,8.92e-05,8.92e-05
48,1273.57,1.42608,1.98945,3.9043,1.56412,0,0.70916,0.50163,0.54954,0.30466,0.43139,0.40839,0.39432,0.1827,1.69186,2.41883,5.74125,1.72178,0,6.94e-05,6.94e-05,6.94e-05
49,1297.4,1.39832,1.95388,3.80925,1.53675,0,0.57656,0.56041,0.55177,0.30647,0.45921,0.42056,0.40163,0.18207,1.69489,2.41815,5.74682,1.72559,0,4.96e-05,4.96e-05,4.96e-05
50,1321.32,1.38908,1.95983,3.78367,1.53832,0,0.58866,0.55695,0.55014,0.3083,0.51397,0.40399,0.41357,0.18399,1.68968,2.42538,5.72361,1.71898,0,2.98e-05,2.98e-05,2.98e-05
