epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,105.073,1.31995,2.49936,5.28375,1.66992,0,0.50716,0.55736,0.50704,0.25812,0.44571,0.35495,0.33254,0.15774,1.78516,2.49429,6.51759,1.81212,0,0.0004456,0.0004456,0.0004456
30,130.658,1.33888,2.48326,5.20833,1.67705,0,0.53494,0.52993,0.49243,0.25569,0.43259,0.37378,0.335,0.16537,1.77843,2.47898,6.48645,1.81253,0,0.0004258,0.0004258,0.0004258
31,156.233,1.32359,2.44333,5.17614,1.68278,0,0.53137,0.54164,0.50402,0.26984,0.47792,0.36169,0.34552,0.16942,1.75814,2.4462,6.40506,1.79695,0,0.000406,0.000406,0.000406
32,182.125,1.33238,2.44122,5.14436,1.66833,0,0.67154,0.53817,0.52027,0.26821,0.55639,0.36329,0.35969,0.16821,1.74486,2.4648,6.11231,1.77765,0,0.0003862,0.0003862,0.0003862
33,208.432,1.28055,2.42243,4.96243,1.64873,0,0.4829,0.5909,0.52941,0.2651,0.34034,0.39367,0.36028,0.16713,1.7783,2.48348,6.18495,1.80998,0,0.0003664,0.0003664,0.0003664
34,234.374,1.29697,2.40407,4.97747,1.645,0,0.50473,0.54128,0.50229,0.25904,0.3919,0.35772,0.34236,0.16176,1.74987,2.4701,6.14563,1.76175,0,0.0003466,0.0003466,0.0003466
35,260.235,1.25824,2.36643,4.82876,1.61672,0,0.5377,0.56106,0.53933,0.27444,0.42662,0.39056,0.37485,0.17525,1.75142,2.4262,6.02854,1.75778,0,0.0003268,0.0003268,0.0003268
36,286.882,1.28971,2.38111,4.82907,1.62529,0,0.49515,0.5839,0.52273,0.27217,0.34105,0.36873,0.34432,0.16825,1.74194,2.46487,6.3801,1.77108,0,0.000307,0.000307,0.000307
37,313.089,1.24785,2.3498,4.7077,1.59926,0,0.58391,0.55316,0.51933,0.27125,0.49349,0.39052,0.36407,0.1731,1.74822,2.42005,5.92532,1.76019,0,0.0002872,0.0002872,0.0002872
38,339.089,1.25514,2.3472,4.63455,1.60283,0,0.52002,0.56893,0.5146,0.27457,0.36993,0.395,0.35845,0.17041,1.74462,2.43,5.79082,1.77419,0,0.0002674,0.0002674,0.0002674
39,365.345,1.24828,2.31435,4.60925,1.59338,0,0.57563,0.59067,0.55105,0.29173,0.39568,0.42564,0.37183,0.17832,1.7226,2.42459,5.88069,1.7568,0,0.0002476,0.0002476,0.0002476
40,391.308,1.21677,2.27263,4.49945,1.59432,0,0.56954,0.61311,0.53036,0.27705,0.3924,0.38835,0.33473,0.1699,1.73118,2.40938,5.89701,1.75489,0,0.0002278,0.0002278,0.0002278
41,418.93,1.54433,2.11906,4.77752,1.68576,0,0.55373,0.58728,0.5308,0.26888,0.43886,0.40383,0.36126,0.17146,1.74557,2.43592,5.9966,1.78138,0,0.000208,0.000208,0.000208
42,442.058,1.50628,2.11496,4.63442,1.64938,0,0.56974,0.61337,0.54863,0.28198,0.41913,0.41313,0.36309,0.17164,1.70707,2.43351,5.79546,1.74308,0,0.0001882,0.0001882,0.0001882
43,465.186,1.47913,2.08105,4.51902,1.63925,0,0.57571,0.61255,0.562,0.28884,0.43158,0.39645,0.36378,0.17392,1.70684,2.42093,5.68783,1.74368,0,0.0001684,0.0001684,0.0001684
44,488.436,1.4535,2.06138,4.36139,1.62223,0,0.60065,0.60843,0.56043,0.29436,0.43971,0.43747,0.38771,0.18015,1.69882,2.4258,5.77674,1.74806,0,0.0001486,0.0001486,0.0001486
45,511.727,1.45418,2.01982,4.25796,1.60126,0,0.62989,0.60167,0.57798,0.29879,0.47921,0.39324,0.39111,0.18426,1.69693,2.38457,5.70541,1.7304,0,0.0001288,0.0001288,0.0001288
46,534.353,1.44823,2.00585,4.17649,1.58526,0,0.61267,0.60201,0.55432,0.29274,0.4786,0.42197,0.3903,0.18342,1.69347,2.39145,5.76688,1.72062,0,0.000109,0.000109,0.000109
47,557.281,1.42956,1.99329,4.06109,1.57273,0,0.50417,0.58803,0.5518,0.29594,0.44638,0.39595,0.38592,0.18119,1.67861,2.39626,5.68673,1.71186,0,8.92e-05,8.92e-05,8.92e-05
48,580.065,1.41981,2.00436,4.05798,1.57096,0,0.51612,0.62441,0.54798,0.29406,0.38912,0.43522,0.38442,0.18073,1.70566,2.38692,5.66812,1.73638,0,6.94e-05,6.94e-05,6.94e-05
49,603.168,1.41924,1.97752,3.95811,1.55809,0,0.53209,0.63127,0.56873,0.30814,0.41962,0.45289,0.40505,0.19095,1.69397,2.36691,5.59945,1.71465,0,4.96e-05,4.96e-05,4.96e-05
50,625.948,1.38966,1.96149,3.9083,1.54307,0,0.58275,0.60776,0.57127,0.30791,0.46269,0.45076,0.40957,0.18963,1.69946,2.37339,5.64912,1.71846,0,2.98e-05,2.98e-05,2.98e-05
